dteday,season,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,instant
2011-01-28,1,16,True,5,1,0.22,0.2727,0.8,0,10,70,80,1
2011-01-28,1,17,True,5,1,0.24,0.2424,0.75,0.1343,2,147,149,2
2011-01-28,1,18,True,5,1,0.24,0.2273,0.75,0.194,2,107,109,3
2011-01-28,1,19,True,5,2,0.24,0.2424,0.75,0.1343,5,84,89,4
2011-01-28,1,20,True,5,2,0.24,0.2273,0.7,0.194,1,61,62,5
2011-01-28,1,21,True,5,2,0.22,0.2273,0.75,0.1343,1,57,58,6
2011-01-28,1,22,True,5,1,0.24,0.2121,0.65,0.3582,0,26,26,7
2011-01-28,1,23,True,5,1,0.24,0.2273,0.6,0.2239,1,22,23,8
2011-01-29,1,0,True,6,1,0.22,0.197,0.64,0.3582,2,26,28,9
2011-01-29,1,1,True,6,1,0.22,0.2273,0.64,0.194,0,20,20,10
2011-01-29,1,2,True,6,1,0.22,0.2273,0.64,0.1642,0,15,15,11
2011-01-29,1,3,True,6,1,0.2,0.2121,0.64,0.1343,3,5,8,12
2011-01-29,1,4,True,6,1,0.16,0.1818,0.69,0.1045,1,2,3,13
2011-01-29,1,6,True,6,1,0.16,0.1818,0.64,0.1343,0,2,2,14
2011-01-29,1,7,True,6,1,0.16,0.1818,0.59,0.1045,1,4,5,15
2011-01-29,1,8,True,6,1,0.18,0.197,0.55,0.1642,3,31,34,16
2011-01-29,1,9,True,6,1,0.18,0.2121,0.59,0.0896,0,34,34,17
2011-01-29,1,10,True,6,2,0.18,0.2121,0.64,0.1045,4,51,55,18
2011-01-29,1,11,True,6,2,0.18,0.197,0.64,0.1343,4,60,64,19
2011-01-29,1,12,True,6,2,0.2,0.197,0.59,0.194,12,66,78,20
2011-01-29,1,13,True,6,2,0.22,0.2273,0.55,0.1642,9,56,65,21
2011-01-29,1,14,True,6,2,0.22,0.2273,0.6,0.1343,10,89,99,22
2011-01-29,1,15,True,6,1,0.22,0.2121,0.69,0.2537,22,98,120,23
2011-01-29,1,16,True,6,1,0.24,0.2424,0.6,0.1642,19,88,107,24
2011-01-29,1,17,True,6,1,0.24,0.2879,0.6,0,9,82,91,25
2011-01-29,1,18,True,6,1,0.22,0.2273,0.69,0.1343,9,59,68,26
2011-01-29,1,19,True,6,2,0.22,0.2121,0.69,0.2537,6,52,58,27
2011-01-29,1,20,True,6,1,0.18,0.2121,0.74,0.0896,1,42,43,28
2011-01-29,1,21,True,6,1,0.18,0.2121,0.74,0.0896,1,35,36,29
2011-01-29,1,22,True,6,1,0.16,0.197,0.8,0.0896,4,28,32,30
2011-01-29,1,23,True,6,1,0.16,0.197,0.8,0.0896,3,30,33,31
2011-01-30,1,0,True,0,1,0.16,0.1818,0.8,0.1045,0,33,33,32
2011-01-30,1,1,True,0,1,0.14,0.2121,0.8,0,7,22,29,33
2011-01-30,1,2,True,0,1,0.16,0.2273,0.8,0,1,10,11,34
2011-01-30,1,3,True,0,1,0.14,0.2121,0.93,0,1,7,8,35
2011-01-30,1,4,True,0,1,0.14,0.2121,0.93,0,0,1,1,36
2011-01-30,1,5,True,0,1,0.14,0.2121,0.86,0,0,3,3,37
2011-01-30,1,7,True,0,1,0.14,0.2121,0.86,0,0,3,3,38
2011-01-30,1,8,True,0,2,0.14,0.2121,0.86,0,1,11,12,39
2011-01-30,1,9,True,0,2,0.16,0.2273,0.8,0,4,34,38,40
2011-01-30,1,10,True,0,2,0.18,0.2424,0.8,0,7,57,64,41
2011-01-30,1,11,True,0,1,0.22,0.2727,0.75,0,9,50,59,42
2011-01-30,1,12,True,0,1,0.3,0.3182,0.52,0.1045,10,87,97,43
2011-01-30,1,13,True,0,1,0.28,0.2879,0.61,0.1045,13,71,84,44
2011-01-30,1,14,True,0,1,0.28,0.303,0.61,0.0896,18,104,122,45
2011-01-30,1,15,True,0,1,0.3,0.3333,0.56,0,14,95,109,46
2011-01-30,1,16,True,0,1,0.3,0.3333,0.56,0,19,104,123,47
2011-01-30,1,17,True,0,1,0.3,0.2879,0.56,0.194,6,71,77,48
2011-01-30,1,18,True,0,1,0.26,0.2576,0.65,0.1642,8,57,65,49
2011-01-30,1,19,True,0,1,0.26,0.2576,0.65,0.194,9,46,55,50
2011-01-30,1,20,True,0,2,0.26,0.2727,0.65,0.1045,3,30,33,51
2011-01-30,1,21,True,0,2,0.24,0.2424,0.7,0.1642,3,25,28,52
2011-01-30,1,22,True,0,2,0.24,0.2273,0.7,0.194,2,19,21,53
2011-01-30,1,23,True,0,2,0.24,0.2121,0.65,0.2836,5,16,21,54
2011-01-31,1,0,True,1,2,0.24,0.2273,0.65,0.2239,1,6,7,55
2011-01-31,1,1,True,1,1,0.22,0.2121,0.64,0.2537,2,5,7,56
2011-01-31,1,2,True,1,1,0.22,0.2273,0.64,0.194,0,1,1,57
2011-01-31,1,3,True,1,1,0.22,0.2273,0.64,0.194,0,2,2,58
